İstek Numarası;Durumu;Month, Day, Year of istek Tarihi;Month, Day, Year of istek Kapanış Tarihi;Açık Kalma Süresi
INT;Categorical;STRING;STRING;INT
1171874;Kapalı;January 3, 2022;April 27, 2022;114
1173113;Kapalı;January 10, 2022;February 1, 2022;22
1173539;Kapalı;January 11, 2022;January 17, 2022;6
1174194;Kapalı;January 14, 2022;May 31, 2022;137
1176225;Kapalı;January 27, 2022;January 27, 2022;0
1178126;Kapalı;February 7, 2022;March 17, 2022;38
1180099;Kapalı;February 17, 2022;March 14, 2022;25
1180575;Kapalı;February 21, 2022;March 18, 2022;25
1180666;Kapalı;February 21, 2022;February 21, 2022;0
1181172;Kapalı;February 23, 2022;March 18, 2022;23
1182067;Kapalı;March 1, 2022;March 8, 2022;7
1182735;Kapalı;March 3, 2022;March 8, 2022;5
1183516;Kapalı;March 8, 2022;March 8, 2022;0
1183691;Kapalı;March 9, 2022;March 31, 2022;22
1183834;Kapalı;March 9, 2022;March 14, 2022;5
1184814;Kapalı;March 15, 2022;March 18, 2022;3
1184883;Kapalı;March 15, 2022;June 20, 2022;97
1186396;Kapalı;March 23, 2022;March 23, 2022;0
1186404;Kapalı;March 23, 2022;April 18, 2022;26
1187706;Kapalı;March 29, 2022;March 29, 2022;0
1189419;Kapalı;April 6, 2022;June 20, 2022;75
1189652;Kapalı;April 7, 2022;May 13, 2022;36
1190790;Kapalı;April 12, 2022;April 25, 2022;13
1191099;Kapalı;April 13, 2022;April 14, 2022;1
1191496;Kapalı;April 15, 2022;April 18, 2022;3
1192136;Kapalı;April 19, 2022;April 25, 2022;6
1192383;Kapalı;April 20, 2022;April 25, 2022;5
1192651;Kapalı;April 21, 2022;May 5, 2022;14
1193141;Kapalı;April 25, 2022;April 26, 2022;1
1193598;Kapalı;April 26, 2022;May 10, 2022;14
1194634;Kapalı;May 6, 2022;May 13, 2022;7
1198502;Kapalı;May 28, 2022;May 30, 2022;2
1198713;Kapalı;May 30, 2022;June 20, 2022;21
1198799;Kapalı;May 31, 2022;May 31, 2022;0
1198926;Kapalı;May 31, 2022;June 4, 2022;4
1199057;Kapalı;May 31, 2022;June 4, 2022;4
1199933;Kapalı;June 6, 2022;June 6, 2022;0
1200453;Kapalı;June 7, 2022;June 20, 2022;13
1200825;Kapalı;June 9, 2022;June 16, 2022;7
1200930;Kapalı;June 9, 2022;June 15, 2022;6
1200991;Kapalı;June 9, 2022;June 28, 2022;19
1201282;Kapalı;June 13, 2022;June 27, 2022;14
1201302;Kapalı;June 13, 2022;June 16, 2022;3
1201456;Kapalı;June 13, 2022;June 16, 2022;3
1201605;Kapalı;June 14, 2022;June 16, 2022;2
1202240;Kapalı;June 17, 2022;June 27, 2022;10
1202263;Kapalı;June 17, 2022;June 18, 2022;1
1202386;Kapalı;June 20, 2022;June 21, 2022;1
1202711;Kapalı;June 21, 2022;June 21, 2022;0
1203266;Kapalı;June 23, 2022;June 27, 2022;4
1203419;Kapalı;June 24, 2022;June 27, 2022;3
1171994;Açık;January 3, 2022;Blank;177
1187101;Açık;March 25, 2022;Blank;96
1187102;Açık;March 25, 2022;Blank;96
1188190;Açık;March 31, 2022;Blank;90
1191070;Açık;April 13, 2022;Blank;77
1191777;Açık;April 18, 2022;Blank;72
1192222;Açık;April 19, 2022;Blank;71
1193268;Açık;April 25, 2022;Blank;65
1193504;Açık;April 26, 2022;Blank;64
1193802;Açık;April 27, 2022;Blank;63
1194051;Açık;April 28, 2022;Blank;62
1194588;Açık;May 5, 2022;Blank;55
1196700;Açık;May 18, 2022;Blank;42
1197180;Açık;May 20, 2022;Blank;40
1198740;Açık;May 30, 2022;Blank;30
1199033;Açık;May 31, 2022;Blank;29
1199730;Açık;June 3, 2022;Blank;26
1200452;Açık;June 7, 2022;Blank;22
1201587;Açık;June 14, 2022;Blank;15
1201755;Açık;June 15, 2022;Blank;14
1201756;Açık;June 15, 2022;Blank;14
1201875;Açık;June 15, 2022;Blank;14
1201947;Açık;June 16, 2022;Blank;13
