İstek Numarası;Durumu;Açık Kalma Süresi
1171874;Kapalı;114
1173113;Kapalı;22
1173539;Kapalı;6
1174194;Kapalı;137
1176225;Kapalı;0
1178126;Kapalı;38
1180099;Kapalı;25
1180575;Kapalı;25
1180666;Kapalı;0
1181172;Kapalı;23
1182067;Kapalı;7
1182735;Kapalı;5
1183516;Kapalı;0
1183691;Kapalı;22
1183834;Kapalı;5
1184814;Kapalı;3
1184883;Kapalı;97
1186396;Kapalı;0
1186404;Kapalı;26
1187706;Kapalı;0
1189419;Kapalı;75
1189652;Kapalı;36
1190790;Kapalı;13
1191099;Kapalı;1
1191496;Kapalı;3
1192136;Kapalı;6
1192383;Kapalı;5
1192651;Kapalı;14
1193141;Kapalı;1
1193598;Kapalı;14
1194634;Kapalı;7
1198502;Kapalı;2
1198713;Kapalı;21
1198799;Kapalı;0
1198926;Kapalı;4
1199057;Kapalı;4
1199933;Kapalı;0
1200453;Kapalı;13
1200825;Kapalı;7
1200930;Kapalı;6
1200991;Kapalı;19
1201282;Kapalı;14
1201302;Kapalı;3
1201456;Kapalı;3
1201605;Kapalı;2
1202240;Kapalı;10
1202263;Kapalı;1
1202386;Kapalı;1
1202711;Kapalı;0
1203266;Kapalı;4
1203419;Kapalı;3
1171994;Açık;177
1187101;Açık;96
1187102;Açık;96
1188190;Açık;90
1191070;Açık;77
1191777;Açık;72
1192222;Açık;71
1193268;Açık;65
1193504;Açık;64
1193802;Açık;63
1194051;Açık;62
1194588;Açık;55
1196700;Açık;42
1197180;Açık;40
1198740;Açık;30
1199033;Açık;29
1199730;Açık;26
1200452;Açık;22
1201587;Açık;15
1201755;Açık;14
1201756;Açık;14
1201875;Açık;14
1201947;Açık;13
