Durumu;Açık Kalma Süresi
Kapalı;114
Kapalı;22
Kapalı;6
Kapalı;137
Kapalı;0
Kapalı;38
Kapalı;25
Kapalı;25
Kapalı;0
Kapalı;23
Kapalı;7
Kapalı;5
Kapalı;0
Kapalı;22
Kapalı;5
Kapalı;3
Kapalı;97
Kapalı;0
Kapalı;26
Kapalı;0
Kapalı;75
Kapalı;36
Kapalı;13
Kapalı;1
Kapalı;3
Kapalı;6
Kapalı;5
Kapalı;14
Kapalı;1
Kapalı;14
Kapalı;7
Kapalı;2
Kapalı;21
Kapalı;0
Kapalı;4
Kapalı;4
Kapalı;0
Kapalı;13
Kapalı;7
Kapalı;6
Kapalı;19
Kapalı;14
Kapalı;3
Kapalı;3
Kapalı;2
Kapalı;10
Kapalı;1
Kapalı;1
Kapalı;0
Kapalı;4
Kapalı;3
Açık;177
Açık;96
Açık;96
Açık;90
Açık;77
Açık;72
Açık;71
Açık;65
Açık;64
Açık;63
Açık;62
Açık;55
Açık;42
Açık;40
Açık;30
Açık;29
Açık;26
Açık;22
Açık;15
Açık;14
Açık;14
Açık;14
Açık;13
