Durumu;Açýk Kalma Süresi
Kapalý;114
Kapalý;22
Kapalý;6
Kapalý;137
Kapalý;0
Kapalý;38
Kapalý;25
Kapalý;25
Kapalý;0
Kapalý;23
Kapalý;7
Kapalý;5
Kapalý;0
Kapalý;22
Kapalý;5
Kapalý;3
Kapalý;97
Kapalý;0
Kapalý;26
Kapalý;0
Kapalý;75
Kapalý;36
Kapalý;13
Kapalý;1
Kapalý;3
Kapalý;6
Kapalý;5
Kapalý;14
Kapalý;1
Kapalý;14
Kapalý;7
Kapalý;2
Kapalý;21
Kapalý;0
Kapalý;4
Kapalý;4
Kapalý;0
Kapalý;13
Kapalý;7
Kapalý;6
Kapalý;19
Kapalý;14
Kapalý;3
Kapalý;3
Kapalý;2
Kapalý;10
Kapalý;1
Kapalý;1
Kapalý;0
Kapalý;4
Kapalý;3
Açýk;177
Açýk;96
Açýk;96
Açýk;90
Açýk;77
Açýk;72
Açýk;71
Açýk;65
Açýk;64
Açýk;63
Açýk;62
Açýk;55
Açýk;42
Açýk;40
Açýk;30
Açýk;29
Açýk;26
Açýk;22
Açýk;15
Açýk;14
Açýk;14
Açýk;14
Açýk;13
